"Number","Building","Date","Team","Latitude","Longitude","Pictures","Diagram","Priority Index  [%]","Number of  Floors","Roof  Type","First Floor Area  [ft²]","Total Floor Area  [ft²]","Column Area  [ft²]","Ace  [ft²]","Concrete Wall  Area N-S [ft²]","Concrete Wall  Area E-W [ft²]","Masonry Wall  Area N-S [ft²]","Masonry Wall  Area E-W [ft²]","Effective  Wall Area","Wall Index  [%]","Column Index  [%]","Priority Index  [%]","Reinforced  Concrete Damage","Masonry Wall  Damage","Photographer","Permenant  Drift","Captive  Columns","Notes",
"67","B029","30-Jun","B","18° 31' 57"" N","72° 19' 25.4"" W","https://nees.org/site/collections/haiti/mainpics/B029.JPG","https://nees.org/site/collections/haiti/Diagrams/B029-Diagram.pdf","0.12","12","Concrete","10850","130200","189","95","58","58","0","0","58","0.04","0.07","0.12","Light","Light","N/A","N","N","12 story + basement; minor spalling at some columns and beam-column connections; staircases had damage to plaster but no thru cracks; occupation continued; only SW corner did not have L-shaped structural walls.  Digicel Tower.",
"68","B030","30-Jun","B","18° 31' 57.2"" N","72° 19' 30.7"" W","https://nees.org/site/collections/haiti/mainpics/B030.JPG","https://nees.org/site/collections/haiti/Diagrams/B030-Diagram.pdf","0.3","3","Concrete","2265","6795","41","20","0","0","0","39","0","0","0.3","0.3","Severe","N/A","N/A","C","N","Second story collapse; RC framing in both directions.  Building N from Digicel.",
"69","B031","30-Jun","B","18° 31' 54.5"" N","72° 19' 31"" W","https://nees.org/site/collections/haiti/mainpics/B031-B032.JPG","https://nees.org/site/collections/haiti/Diagrams/B031-Diagram.pdf","0.11","3","Concrete","2449","7347","16","8","40","0","80","0","0","0","0.11","0.11","Moderate","N/A","N/A","N","Y","Basement; RC framing in both ways; has expansion joint but roof is continuous; no ties in a small spalled column area; EW walls in second story came down.  Centre de Formation Professionnelle d'Haiti (Canadian School).",
"70","B032","30-Jun","B","18° 31' 54.5"" N","72° 19' 31"" W","https://nees.org/site/collections/haiti/mainpics/B031-B032.JPG","https://nees.org/site/collections/haiti/Diagrams/B032-Diagram.pdf","0.15","3","Concrete","2650","7950","23","12","40","0","58","0","0","0","0.15","0.15","Moderate","Moderate","N/A","N","Y","Basement; RC framing in both directions.  Centre de Formation Professionnelle d'Haiti (Canadian School) - West.",
"71","B033","30-Jun","B","18° 31' 53.8"" N","72° 19' 31.6"" W","https://nees.org/site/collections/haiti/mainpics/B033.JPG","https://nees.org/site/collections/haiti/Diagrams/B033-Diagram.pdf","0.14","2.5","Concrete","1923","4808","14","7","0","0","0","29","0","0","0.14","0.14","Light","N/A","N/A","N","Y","RC framing in both ways.  Centre de Formation Professionnelle d'Haiti (Canadian School) - North West.",
"72","B034","30-Jun","B","18° 31' 52.9"" N","72° 19' 23"" W","https://nees.org/site/collections/haiti/mainpics/B034.JPG","https://nees.org/site/collections/haiti/Diagrams/B034-Diagram.pdf","0.18","2","Concrete","2177","4354","16","8","0","0","0","0","0","0","0.18","0.18","Severe","Severe","N/A","N","Y","Very poor detailing.  Community Professional School.",
"73","B035","30-Jun","B","18° 31' 56.1"" N","72° 19' 37.2"" W","https://nees.org/site/collections/haiti/mainpics/B035.JPG","https://nees.org/site/collections/haiti/Diagrams/B035-Diagram.pdf","0.18","3","Concrete","1258","3774","14","7","0","0","30","0","0","0","0.18","0.18","Light","Severe","N/A","N","Y","No ties; one exterior col failed with digaonal crack; two interior captive cols failed/diagonal cracks; RC flat slab; (*); GPS was accurate to 50-ft.  Private apartment.",
"74","B036","30-Jun","B","18° 32' 3.2"" N","72° 19' 35.2"" W","https://nees.org/site/collections/haiti/mainpics/B036.JPG","https://nees.org/site/collections/haiti/Diagrams/B036-Diagram.pdf","0.14","2.5","Concrete","1580","3950","11","6","0","0","11","0","0","0","0.14","0.14","Light","Severe","N/A","N","Y","Basement; rubble/rcok + solid brick + CMU (mostly) in single bay.  Private apartment.",
"75","B037","1-Jul","B","18° 33' 6.7"" N","72° 18' 41.7"" W","https://nees.org/site/collections/haiti/mainpics/B037.JPG","https://nees.org/site/collections/haiti/Diagrams/B037-Diagram.pdf","0","0","Corigated Steel","0","0","0","0","0","0","0","0","0","0","0","0","N/A","N/A","N/A","N/A","N","Imperial Movie Theater.",
"76","B038","1-Jul","B","18° 33' 5.8"" N","72° 18' 43.5"" W","https://nees.org/site/collections/haiti/mainpics/B038.JPG","https://nees.org/site/collections/haiti/Diagrams/B038-Diagram.pdf","0","3","Concrete","0","0","0","0","0","0","0","0","0","0","0","0","Severe","Severe","N/A","N","Y","N/A",
"77","B039","1-Jul","B","18° 33' 12.4"" N","72° 18' 56.5"" W","https://nees.org/site/collections/haiti/mainpics/B039.JPG","https://nees.org/site/collections/haiti/Diagrams/B039-Diagram.pdf","0","3","Concrete","0","0","0","0","0","0","0","0","0","0","0","0","Light","Severe","N/A","N","Y","Store Complex (Mattress).",
"78","B040","1-Jul","B","18° 33' 16.6"" N","72° 18' 32.4"" W","https://nees.org/site/collections/haiti/mainpics/B040.JPG","https://nees.org/site/collections/haiti/Diagrams/B040-Diagram.pdf","0","2","Concrete","0","0","0","0","0","0","0","0","0","0","0","0","N/A","N/A","N/A","C","Y","Apartment.",
"79","B041","1-Jul","B","18° 33' 16.4"" N","72° 18' 36.7"" W","https://nees.org/site/collections/haiti/mainpics/B041.JPG","https://nees.org/site/collections/haiti/Diagrams/B041-Diagram.pdf","0","2","Concrete","0","0","0","0","0","0","0","0","0","0","0","0","Severe","Severe","N/A","N","Y","House next to B040 (Collapsed).",
"80","B042","1-Jul","B","18° 33' 9.4"" N","72° 18' 48.2"" W","https://nees.org/site/collections/haiti/mainpics/B042.JPG","https://nees.org/site/collections/haiti/Diagrams/B042-Diagram.pdf","0","3","Concrete","0","0","0","0","0","0","0","0","0","0","0","0","N/A","N/A","N/A","C","Y","N/A",
"81","B043","1-Jul","B","18° 33' 19.4"" N","72° 19' 17.7"" W","https://nees.org/site/collections/haiti/mainpics/B043.JPG","https://nees.org/site/collections/haiti/Diagrams/B043-Diagram.pdf","0","4","Corigated Steel","0","0","0","0","0","0","0","0","0","0","0","0","Moderate","Moderate","N/A","N","Y","N/A",
"82","B044","2-Jul","B","18° 33' 23.7"" N","72° 19' 29.8"" W","https://nees.org/site/collections/haiti/mainpics/B044.JPG","https://nees.org/site/collections/haiti/Diagrams/B044-Diagram.pdf","0.16","4","Concrete","8646","34584","76","38","0","0","230","170","17","0.05","0.11","0.16","Light","Severe","N/A","N","N","East end infill walls have severe cracking; walls looked very sturdy; has 5-story segments at W and E ends with brick facades.  ScotiaBank on rue Delmas.",
"83","B045","2-Jul","B","18° 32' 47.5"" N","72° 20' 13.7"" W","https://nees.org/site/collections/haiti/mainpics/B045.JPG","https://nees.org/site/collections/haiti/Diagrams/B045-Diagram.pdf","0.14","4","Concrete","2073","8292","23","12","0","0","0","1","0","0","0.14","0.14","Light","Severe","N/A","N","Y","Entered partially; framing in both directions.  Carte D'urgence Medicale 4-story building near LePlaza (Apt #60).",
"84","B046","2-Jul","B","18° 31' 59.5"" N","72° 20' 3.7"" W","https://nees.org/site/collections/haiti/mainpics/B046.JPG","https://nees.org/site/collections/haiti/Diagrams/B046-Diagram.pdf","0.1","3","Concrete","5302","15906","27","13","0","0","19","140","2","0.01","0.08","0.1","Moderate","Severe","N/A","N","Y","Basement; framing in both directions; flexural cracks in columns in top story.  CEFOPAFOP - L-shaped School Bldg.",
"85","B047","2-Jul","B","18° 31' 59.5"" N","72° 20' 3.7"" W","https://nees.org/site/collections/haiti/mainpics/B047.JPG","https://nees.org/site/collections/haiti/Diagrams/B047-Diagram.pdf","0.15","3","Concrete","4098","12294","38","19","0","0","0","13","0","0","0.15","0.15","Severe","Severe","N/A","N","Y","Columns failed in shear; very light trans. Reinforcing.  CEFOPAFOP - Small Bldg.",
"86","B048","2-Jul","B","18° 32' 58.8"" N","72° 20' 17.9"" W","https://nees.org/site/collections/haiti/mainpics/B048.JPG","https://nees.org/site/collections/haiti/Diagrams/B048-Diagram.pdf","0.22","4","Concrete","3134","12536","50","25","0","0","33","29","3","0.02","0.2","0.22","Moderate","Severe","N/A","N","N","Framing in both directions.  New Catholic Residence near National Cathedral.",
"87","B049","2-Jul","B","18° 32' 30.1"" N","72° 20' 3.6"" W","https://nees.org/site/collections/haiti/mainpics/B049.JPG","https://nees.org/site/collections/haiti/Diagrams/B049-Diagram.pdf","0.28","4","Concrete","2073","8292","42","21","0","0","27","17","2","0.02","0.25","0.28","Light","Moderate","N/A","N","N","Framing in both directions; another building next to it with construction joint patched over.  American Haitian Institute - Building in the back.",
"88","C001","26-Jun","C","18° 33' 16.2"" N","72° 18' 12.4"" W","https://nees.org/site/collections/haiti/mainpics/C001.JPG","https://nees.org/site/collections/haiti/Diagrams/C001-Diagram-1.pdf, https://nees.org/site/collections/haiti/Diagrams/C001-Diagram-2.pdf","0.22","2","Concrete","0","20800","50","25","0","0","213","304","21","0.1","0.12","0.22","Moderate","Moderate","N/A","N","Y","RC school.",
"89","C002","26-Jun","C","18° 33' 15"" N","72° 18' 9.4"" W","https://nees.org/site/collections/haiti/mainpics/C002.JPG","https://nees.org/site/collections/haiti/Diagrams/C002-Diagram-1.pdf, https://nees.org/site/collections/haiti/Diagrams/C002-Diagram-2.pdf","0.26","2","Concrete","0","20800","50","25","0","0","296","304","30","0.14","0.12","0.26","Light","Moderate","N/A","N","Y","RC school, C002's twin.",
"90","C003","26-Jun","C","18° 33' 16"" N","72° 18' 11.5"" W","https://nees.org/site/collections/haiti/mainpics/C003.JPG","https://nees.org/site/collections/haiti/Diagrams/C003-Diagram-1.pdf, https://nees.org/site/collections/haiti/Diagrams/C003-Diagram-2.pdf","0.21","3","Concrete","0","11200","35","17","0","0","61","80","6","0.05","0.15","0.21","Light","Light","N/A","N","Y","RC building.",
"91","C004","26-Jun","C","18° 30' 39.4"" N","72° 17' 18.2"" W","https://nees.org/site/collections/haiti/mainpics/C004.JPG","https://nees.org/site/collections/haiti/Diagrams/C004-Diagram-1.pdf, https://nees.org/site/collections/haiti/Diagrams/C004-Diagram-2.pdf","0.19","2","Concrete","0","5410","13","7","0","0","34","72","3","0.06","0.12","0.19","Light","Light","N/A","N","N","N/A",
"92","C005","26-Jun","C","18° 31' 5.8"" N","72° 17' 0"" W","https://nees.org/site/collections/haiti/mainpics/C005.JPG","https://nees.org/site/collections/haiti/Diagrams/C005-Diagram.pdf","0.16","2","Concrete","0","1420","1","1","0","0","17","57","2","0.12","0.05","0.16","N/A","N/A","N/A","N/A","N/A","Block house.",
"93","C006","26-Jun","C","18° 31' 24"" N","72° 17' 2.9"" W","https://nees.org/site/collections/haiti/mainpics/C006.JPG","https://nees.org/site/collections/haiti/Diagrams/C006-Diagram-1.pdf, https://nees.org/site/collections/haiti/Diagrams/C006-Diagram-2.pdf","0.36","0.5","Metal","0","11682","72","36","0","0","65","87","7","0.06","0.31","0.36","Severe","Severe","N/A","N/A","N","Church.",
"94","C008","27-Jun","C","18° 32' 58"" N","72° 18' 13.2"" W","https://nees.org/site/collections/haiti/mainpics/C008.JPG","https://nees.org/site/collections/haiti/Diagrams/C008-Diagram.pdf","0.09","2","Concrete","0","6300","7","4","0","0","21","19","2","0.03","0.06","0.09","Light","Severe","N/A","N/A","Y","Block infill RC frame.",
"95","C009","27-Jun","C","18° 32' 54.6"" N","72° 18' 11"" W","https://nees.org/site/collections/haiti/mainpics/C009.JPG","https://nees.org/site/collections/haiti/Diagrams/C009-Diagram.pdf","0.1","2","Concrete","0","5550","8","4","0","0","15","25","2","0.03","0.07","0.1","Light","Light","N/A","N/A","Y","RC str. With masonry walls.",
"96","C010","27-Jun","C","18° 32' 54.5"" N","72° 18' 11.8"" W","https://nees.org/site/collections/haiti/mainpics/C010.JPG","https://nees.org/site/collections/haiti/Diagrams/C010-Diagram.pdf","0.49","2","Concrete","0","2380","21","10","0","0","12","58","1","0.05","0.44","0.49","Light","Light","N/A","N/A","Y","RC with block walls.",
"97","C011","27-Jun","C","18° 33' 4.6"" N","72° 18' 30.5"" W","https://nees.org/site/collections/haiti/mainpics/C011.JPG","https://nees.org/site/collections/haiti/Diagrams/C011-Diagram-1.pdf, https://nees.org/site/collections/haiti/Diagrams/C011-Diagram-2.pdf","0.06","2","Concrete","0","2800","1","0","0","0","12","196","1","0.04","0.01","0.06","Severe","Severe","N/A","N/A","Y","RC frame with block walls, almost all block.",
"98","C012","27-Jun","C","18° 33' 5.3"" N","72° 18' 31.4"" W","https://nees.org/site/collections/haiti/mainpics/C012.JPG","https://nees.org/site/collections/haiti/Diagrams/C012-Diagram.pdf","0.33","2","Concrete","0","2866","13","6","0","0","30","46","3","0.1","0.23","0.33","Light","Light","N/A","N/A","Y","RC frame with block walls.",
"99","C013","27-Jun","C","18° 33' 7"" N","72° 18' 29.5"" W","https://nees.org/site/collections/haiti/mainpics/C013.JPG","https://nees.org/site/collections/haiti/Diagrams/C013-Diagram.pdf","0.37","2","Concrete","0","1430","7","3","0","0","23","21","2","0.14","0.23","0.37","Severe","Severe","N/A","N/A","Y","RC frame with block walls.",
"100","C014","27-Jun","C","18° 33' 17.1"" N","72° 18' 32.2"" W","https://nees.org/site/collections/haiti/mainpics/C014.JPG","https://nees.org/site/collections/haiti/Diagrams/C014-Diagram.pdf","0.08","2","Concrete","0","5460","1","1","0","0","40","59","4","0.07","0.01","0.08","Severe","Moderate","N/A","N/A","Y","RC frame with block walls.",
"101","C016","27-Jun","C","18° 32' 24.6"" N","72° 19' 6.1"" W","https://nees.org/site/collections/haiti/mainpics/C016.JPG","https://nees.org/site/collections/haiti/Diagrams/C016-Diagram.pdf","0.18","2","Concrete","0","3760","3","1","0","0","56","66","6","0.15","0.03","0.18","Severe","Severe","N/A","Y","Y","N/A",
"102","C017","27-Jun","C","18° 32' 12.2"" N","72° 20' 0"" W","https://nees.org/site/collections/haiti/mainpics/C017.JPG","https://nees.org/site/collections/haiti/Diagrams/C017-Diagram.pdf","0.12","5","Concrete","0","18125","42","21","0","0","67","0","0","0","0.12","0.12","Severe","Severe","N/A","Y","Y","RC School, first floor pancaked.",
"103","C018","28-Jun","C","18° 30' 34.2"" N","72° 17' 16.8"" W","https://nees.org/site/collections/haiti/mainpics/C018.JPG","https://nees.org/site/collections/haiti/Diagrams/C018-Diagram.pdf","0.37","2","Concreat","0","1286","5","3","0","0","23","30","2","0.18","0.19","0.37","Severe","Severe","N/A","N","Y","RC block house.",
"104","C019","28-Jun","C","18° 30' 52.5"" N","72° 37' 54.2"" W","https://nees.org/site/collections/haiti/mainpics/C019.JPG","https://nees.org/site/collections/haiti/Diagrams/C019-Diagram.pdf","0.89","1","Metal","0","1085","15","7","0","0","24","61","2","0.22","0.67","0.89","Light","Light","N/A","N","N","RC block building.",
"105","C020","28-Jun","C","18° 30' 55.7"" N","72° 38' 2.1"" W","https://nees.org/site/collections/haiti/mainpics/C020.JPG","https://nees.org/site/collections/haiti/Diagrams/C020-Diagram.pdf","0.18","2","Concreat","0","3210","7","3","0","0","32","23","2","0.07","0.1","0.18","Severe","Light","N/A","N/A","Y","N/A",
"106","C021","28-Jun","C","18° 30' 55.9"" N","72° 38' 3.2"" W","https://nees.org/site/collections/haiti/mainpics/C021.JPG","https://nees.org/site/collections/haiti/Diagrams/C021-Diagram.pdf","0.47","2","Metal","0","1422","12","6","0","0","20","5","1","0.04","0.44","0.47","Light","Light","N/A","N/A","Y","N/A",
"107","C022","28-Jun","C","18° 31' 0"" N","72° 38' 14.9"" W","https://nees.org/site/collections/haiti/mainpics/C022.JPG","https://nees.org/site/collections/haiti/Diagrams/C022-Diagram.pdf","0.22","1","Metal","0","1570","7","3","0","0","0","13","0","0","0.22","0.22","Moderate","Light","N/A","N/A","N/A","N/A",
"108","C023","28-Jun","C","18° 30' 33.9"" N","72° 37' 56.3"" W","https://nees.org/site/collections/haiti/mainpics/C023.JPG","https://nees.org/site/collections/haiti/Diagrams/C023-Diagram.pdf","0.25","2","Concreat","0","1761","6","3","0","0","25","12","1","0.07","0.18","0.25","Severe","Severe","N/A","N","Y","N/A",
"109","C024","28-Jun","C","18° 30' 33.2"" N","72° 37' 54.8"" W","https://nees.org/site/collections/haiti/mainpics/C024.JPG","https://nees.org/site/collections/haiti/Diagrams/C024-Diagram.pdf","0.18","2","Concreat","0","5400","12","6","0","0","39","52","4","0.07","0.11","0.18","Light","Light","N/A","N","Y","N/A",
"110","C025","28-Jun","C","18° 30' 33.5"" N","72° 37' 56.5"" W","https://nees.org/site/collections/haiti/mainpics/C025.JPG","https://nees.org/site/collections/haiti/Diagrams/C025-Diagram.pdf","0.36","1","Concrete","0","1947","10","5","0","0","22","24","2","0.11","0.25","0.36","Light","Light","N/A","N","Y","N/A",
"111","C026","28-Jun","C","18° 30' 42.8"" N","72° 37' 47.4"" W","https://nees.org/site/collections/haiti/mainpics/C026.JPG","https://nees.org/site/collections/haiti/Diagrams/C026-Diagram.pdf","0.26","1","Concrete","0","1250","2","1","0","0","22","47","2","0.18","0.08","0.26","Severe","Severe","N/A","N/A","N/A","N/A",
"112","C027","28-Jun","C","18° 30' 42.6"" N","72° 37' 47.4"" W","https://nees.org/site/collections/haiti/mainpics/C027.JPG","https://nees.org/site/collections/haiti/Diagrams/C027-Diagram.pdf","0.16","2","Concrete","0","2730","3","2","0","0","28","53","3","0.1","0.06","0.16","Severe","Severe","N/A","N","Y","RC frame, block walls.",
"113","C028","28-Jun","C","18° 30' 40.5"" N","72° 37' 45.4"" W","https://nees.org/site/collections/haiti/mainpics/C028.JPG","https://nees.org/site/collections/haiti/Diagrams/C028-Diagram.pdf","0.08","2","Concrete","0","5150","0","0","0","0","75","40","4","0.08","0","0.08","N/A","Severe","N/A","N","Y","N/A",
"114","C029","28-Jun","C","18° 30' 43.7"" N","72° 37' 48.8"" W","https://nees.org/site/collections/haiti/mainpics/C029.JPG","https://nees.org/site/collections/haiti/Diagrams/C029-Diagram.pdf","0.19","2","Concrete","0","4050","14","7","0","0","45","8","1","0.02","0.17","0.19","Severe","Severe","N/A","N/A","Y","N/A",
"115","C030","29-Jun","C","18° 33' 54.1"" N","72° 17' 57.3"" W","https://nees.org/site/collections/haiti/mainpics/C030.JPG","https://nees.org/site/collections/haiti/Diagrams/C030-Diagram.pdf","0.07","3","Concrete","0","6790","8","4","0","0","43","10","1","0.01","0.06","0.07","Severe","Severe","N/A","N/A","N/A","N/A",
"116","C031","29-Jun","C","18° 33' 48.6"" N","72° 17' 40.3"" W","https://nees.org/site/collections/haiti/mainpics/C031.JPG","https://nees.org/site/collections/haiti/Diagrams/C031-Diagram.pdf","0.37","3","Concrete","0","2016","8","4","0","0","33","57","3","0.16","0.21","0.37","Light","Light","N/A","N","N","N/A",
"117","C032","29-Jun","C","18° 33' 53.9"" N","72° 17' 39.6"" W","https://nees.org/site/collections/haiti/mainpics/C032.JPG","https://nees.org/site/collections/haiti/Diagrams/C032-Diagram.pdf","0.33","1","Concrete","0","3210","10","5","0","0","63","55","6","0.17","0.16","0.33","Light","Light","N/A","N","Y","RC School.",
"118","C033","29-Jun","C","18° 33' 53.9"" N","72° 17' 39.2"" W","https://nees.org/site/collections/haiti/mainpics/C033.JPG","https://nees.org/site/collections/haiti/Diagrams/C033-Diagram.pdf","0.34","2","Concrete","0","840","4","2","0","0","20","9","1","0.11","0.23","0.34","Light","Severe","N/A","N","Y","N/A",
"119","C034","29-Jun","C","18° 33' 54.2"" N","72° 17' 40.2"" W","https://nees.org/site/collections/haiti/mainpics/C034.JPG","https://nees.org/site/collections/haiti/Diagrams/C034-Diagram.pdf","0.44","1","Metal","0","1420","13","6","0","0","0","0","0","0","0.44","0.44","Light","Severe","N/A","N","N/A","RC Church.",
"120","C035","30-Jun","C","18° 32' 7.8"" N","72° 19' 28.3"" W","https://nees.org/site/collections/haiti/mainpics/C035.JPG","https://nees.org/site/collections/haiti/Diagrams/C035-Diagram.pdf","0.12","6","Concrete","0","67000","94","47","51","26","59","85","35","0.05","0.07","0.12","Severe","Severe","N/A","N","Y","6-story hospital under construction with partial collapse, structural asymmetry front to back.",
"121","C036","30-Jun","C","18° 32' 5.8"" N","72° 19' 26.9"" W","https://nees.org/site/collections/haiti/mainpics/C036.JPG","https://nees.org/site/collections/haiti/Diagrams/C036-Diagram.pdf","0.18","2","Concrete","0","6831","17","8","0","0","42","57","4","0.06","0.12","0.18","Severe","Severe","N/A","N","N","RC frame, block walls.",
"122","C037","30-Jun","C","18° 32' 3.7"" N","72° 19' 21.4"" W","https://nees.org/site/collections/haiti/mainpics/C037.JPG","https://nees.org/site/collections/haiti/Diagrams/C037-Diagram.pdf","0.15","2","Concrete","0","12117","37","18","0","0","78","0","0","0","0.15","0.15","Light","Light","N/A","N","Y","RC frame, block walls.",
"123","C038","30-Jun","C","18° 31' 48"" N","72° 19' 20"" W","https://nees.org/site/collections/haiti/mainpics/C038.JPG","https://nees.org/site/collections/haiti/Diagrams/C038-Diagram.pdf","0.2","3","Metal","0","2071","7","3","0","0","24","7","1","0.03","0.17","0.2","Light","Moderate","N/A","N","N","RC frame, block walls.",
"124","C039","30-Jun","C","18° 31' 50.6"" N","72° 19' 26.2"" W","https://nees.org/site/collections/haiti/mainpics/C039.JPG","https://nees.org/site/collections/haiti/Diagrams/C039-Diagram.pdf","0.11","2","Metal","0","5528","8","4","0","0","21","19","2","0.03","0.08","0.11","Light","Light","N/A","N","Y","RC frame, block walls, couldn't get inside.",
"125","C040","30-Jun","C","18° 31' 51.4"" N","72° 19' 26.8"" W","https://nees.org/site/collections/haiti/mainpics/C040.JPG","https://nees.org/site/collections/haiti/Diagrams/C040-Diagram.pdf","0.08","2","Concrete","0","14858","17","8","0","0","33","61","3","0.02","0.06","0.08","Light","Moderate","N/A","N","Y","RC frame, block wall, nice house.",
"126","C041","N/A","C","","","https://nees.org/site/collections/haiti/mainpics/C041.JPG","","","0","N/A","0","0","0","0","0","0","0","0","0","0","0","0","N/A","N/A","N/A","N/A","N/A","N/A",
"127","C042","1-Jul","C","18° 33' 45.1"" N","72° 17' 46.6"" W","https://nees.org/site/collections/haiti/mainpics/C042.JPG","https://nees.org/site/collections/haiti/Diagrams/C042-Diagram.pdf","0.3","2","Concrete","0","4228","18","9","0","0","50","37","4","0.09","0.21","0.3","Light","Light","N/A","N","Y","Bureau of mines.",
"128","C043","1-Jul","C","18° 33' 9.1"" N","72° 18' 42.3"" W","https://nees.org/site/collections/haiti/mainpics/C043.JPG","https://nees.org/site/collections/haiti/Diagrams/C043-Diagram.pdf","0.17","3","Concrete","0","9130","29","14","0","0","50","12","1","0.01","0.16","0.17","Moderate","Severe","N/A","N","Y","Couldn't go inside.",
"129","C044","1-Jul","C","18° 33' 7.2"" N","72° 18' 46.5"" W","https://nees.org/site/collections/haiti/mainpics/C044.JPG","https://nees.org/site/collections/haiti/Diagrams/C044-Diagram.pdf","0.1","2","Concrete","0","2550","5","2","0","0","14","3","0","0.01","0.09","0.1","Severe","Severe","N/A","N","Y","RC frame, block walls.",
"130","C045","1-Jul","C","18° 33' 15"" N","72° 19' 1.6"" W","https://nees.org/site/collections/haiti/mainpics/C045.JPG","https://nees.org/site/collections/haiti/Diagrams/C045-Diagram.pdf","0.24","3","Concrete","0","2050","8","4","0","0","64","11","1","0.05","0.19","0.24","Light","Moderate","N/A","N","Y","RC frame, block wall, building in back collapsed.",
"131","C046","1-Jul","C","18° 33' 25.4"" N","72° 18' 35.6"" W","https://nees.org/site/collections/haiti/mainpics/C046.JPG","https://nees.org/site/collections/haiti/Diagrams/C046-Diagram.pdf","0.28","3","Concrete","0","5400","25","13","0","0","27","60","3","0.05","0.23","0.28","Light","Light","N/A","N","N","RC frame, block walls, car mechanic in alley.",
"132","C047","1-Jul","C","18° 33' 7.5"" N","72° 18' 57.4"" W","https://nees.org/site/collections/haiti/mainpics/C047.JPG","https://nees.org/site/collections/haiti/Diagrams/C047-Diagram.pdf","0.16","3","Concrete","0","14580","35","18","0","0","55","61","6","0.04","0.12","0.16","Moderate","Severe","N/A","N","N","RC frame, block wall.",
"133","C048","1-Jul","C","18° 33' 17.3"" N","72° 18' 7.9"" W","https://nees.org/site/collections/haiti/mainpics/C048.JPG","https://nees.org/site/collections/haiti/Diagrams/C048-Diagram.pdf","","0","Concrete","0","0","0","0","0","0","0","0","0","0","0","0","Light","Light","N/A","N","Y","N/A",
"134","C049","1-Jul","C","18° 33' 26.3"" N","72° 19' 35.1"" W","https://nees.org/site/collections/haiti/mainpics/C049.JPG","https://nees.org/site/collections/haiti/Diagrams/C049-Diagram.pdf","0.13","2","Concrete","0","22528","52","26","0","0","24","48","2","0.01","0.11","0.13","Light","Light","N/A","N","N","Split level, most is 2 story, part is 3.",
"135","C050","2-Jul","C","18° 31' 58.2"" N","72° 20' 5.3"" W","https://nees.org/site/collections/haiti/mainpics/C050.JPG","https://nees.org/site/collections/haiti/Diagrams/C050-Diagram.pdf","0.12","3","Concrete","0","19624","43","21","0","0","28","54","3","0.01","0.11","0.12","Light","Severe","N/A","N","N","N/A",
"136","C051","2-Jul","C","18° 31' 52.7"" N","72° 20' 2.9"" W","https://nees.org/site/collections/haiti/mainpics/C051.JPG","https://nees.org/site/collections/haiti/Diagrams/C051-Diagram.pdf","0.1","4","Concrete","0","22800","40","20","0","0","16","98","2","0.01","0.09","0.1","Moderate","Severe","N/A","N","Y","Faculte sciences humans un",
"137","D002","26-Jun","D","18° 33' 16.3"" N","72° 18' 11.8"" W","https://nees.org/site/collections/haiti/mainpics/D002.JPG","https://nees.org/site/collections/haiti/Diagrams/D002-Diagram-1.pdf, https://nees.org/site/collections/haiti/Diagrams/D002-Diagram-2.pdf","0.2","2","Concrete","8512","17024","67","33","0","0","0","149","0","0","0.2","0.2","Severe","Severe","Olaf","N","Y","RC School - 4"" tie spacing, architectural facade on back, 90 deg hooks, 2nd fl in good shape.",
"138","D003","26-Jun","D","18° 33' 16.7"" N","72° 18' 13.7"" W","https://nees.org/site/collections/haiti/mainpics/D003.JPG","https://nees.org/site/collections/haiti/Diagrams/D003-Diagram.pdf","0.09","1","Concrete","1724","1724","3","2","0","0","0","58","0","0","0.09","0.09","Light","Light","Olaf","N","N","1-story bathroom in school comples.",
"139","D004E","26-Jun","D","18° 33' 14.5"" N","72° 18' 11.5"" W","https://nees.org/site/collections/haiti/mainpics/D004E.JPG","https://nees.org/site/collections/haiti/Diagrams/D004E-Diagram.pdf","0.47","1","Concrete","4508","4508","43","21","0","0","0","47","0","0","0.47","0.47","Severe","Moderate","Olaf","Y (~0)","N","RC School - Could see some permanent drift if you squinted, but very slight, same captive col issue.",
"140","D004S","26-Jun","D","18° 33' 14.5"" N","72° 18' 11.5"" W","https://nees.org/site/collections/haiti/mainpics/D004S.JPG","https://nees.org/site/collections/haiti/Diagrams/D004S-Diagram.pdf","0.54","1","Concrete","5714","5714","51","26","0","0","52","130","5","0.09","0.45","0.54","Moderate","Severe","Olaf","N","N","RC School Kitchen - 004E and 004W attached, Stairwell collapsed out back.",
"141","D004W","26-Jun","D","18° 33' 14.5"" N","72° 18' 11.5"" W","https://nees.org/site/collections/haiti/mainpics/D004W.JPG","https://nees.org/site/collections/haiti/Diagrams/D004W-Diagram.pdf","0.47","1","Concrete","4508","4508","43","21","0","0","0","47","0","0","0.47","0.47","Severe","Light","Olaf","N","N","RC School - Used to have infill walls for captive cols, but got torn down.",
"142","D005","26-Jun","D","18° 30' 40.9"" N","72° 17' 13.5"" W","https://nees.org/site/collections/haiti/mainpics/D005.JPG","https://nees.org/site/collections/haiti/Diagrams/D005-Diagram.pdf","0.36","3","Concrete","1440","4320","31","16","0","0","0","48","0","0","0.36","0.36","Light","Light","Olaf","N","Y","RC School - 3-building complex, isolated with 2-in joints.",
